epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65941,1.11994,2.63313,5.86047,1.38555,0.03435,1,0.995,0.73678,0.03435,1,0.995,0.74295,0.69646,1.46624,4.17969,1.00476,7.145e-05,7.145e-05,7.145e-05
2,4.94754,1.15083,2.39653,6.56502,1.44554,0.52941,1,0.995,0.7772,0.52941,1,0.995,0.85994,0.75272,1.2533,4.09849,1.01834,0.000154078,0.000154078,0.000154078
3,7.17401,1.1009,1.71678,5.43321,1.36781,0.52941,1,0.995,0.81029,0.52941,1,0.995,0.88115,0.64343,1.10414,3.89521,0.94352,0.00023331,0.00023331,0.00023331
4,9.37592,0.94935,1.34452,4.5264,1.26964,0.52941,1,0.995,0.81229,0.52941,1,0.995,0.86364,0.66223,1.1541,3.86578,0.92466,0.000309147,0.000309147,0.000309147
5,11.7229,0.98484,1.50477,4.58601,1.25142,0.16981,1,0.995,0.80526,0.16981,1,0.995,0.8707,0.73924,1.21117,3.85694,0.92987,0.000381589,0.000381589,0.000381589
6,13.9424,1.14763,1.59603,3.96338,1.37097,0.04545,1,0.995,0.79577,0.04545,1,0.995,0.87516,0.67309,1.25281,3.71626,0.90641,0.000450635,0.000450635,0.000450635
7,16.1081,1.01861,1.31048,3.89191,1.26202,0.03614,1,0.995,0.81214,0.03614,1,0.995,0.8414,0.71523,1.51191,3.55186,0.92395,0.000516286,0.000516286,0.000516286
8,18.2598,0.93297,1.28152,3.44526,1.18922,1,0.90538,0.995,0.81589,1,0.90538,0.995,0.86015,0.76128,1.17897,3.59967,0.94551,0.000578542,0.000578542,0.000578542
9,20.4074,1.10909,1.54681,4.73116,1.28387,1,0.92575,0.995,0.82015,1,0.92575,0.995,0.86452,0.77584,1.14711,3.27281,0.91505,0.000637403,0.000637403,0.000637403
10,22.5366,1.02967,1.27126,3.52518,1.22022,0.99485,1,0.995,0.7976,0.99485,1,0.995,0.87189,0.79026,1.11672,2.47732,0.96164,0.000692868,0.000692868,0.000692868
